buyer,tender title,tender description ,tender category,postal_town,administrative_area_level_2,administrative_area_level_1,country
derbyshire county council,CST109 Aids to Rehabilitation (for Occupational Health),"Derbyshire County Council is out to tender for aids to rehabilitation following Occupational Health assessments. These aids are aimed at staff members requiring adjustments to their workstation(s) - ie. bespoke chairs, desks, additional support cushions, and other desktop items.

The Council requires a fully delivered service with installation and set-up options.",Miscellaneous medical devices and products,Matlock,Derbyshire,England,United Kingdom
derbyshire county council,PLACE306 Supply of Autodesk Licences,"Supply of Autodesk Licences
ITT documentation is accessible via www.eastmidstenders.org and placing a expression of interest.",Drawing and imaging software package,Matlock,Derbyshire,England,United Kingdom
derbyshire county council,"1076017b  Proposed Side and Rear Extension to a property located in Chesterfield, Derbyshire","Proposed Side and Rear Extension to a property located in Chesterfield, Derbyshire",Building construction work,Matlock,Derbyshire,England,United Kingdom
derbyshire county council,"PLACE430H Supply of UPVC Pipes, Ducting & Access Chambers","Derbyshire County Council is seeking a suppplier/s for the supply of UPVC pipes, ducting & access chambers.
The contract will be split into four lots:-
Lot 1 is for the supply of hdpe twin wall pipes and fittings
Lot 2 is for the supply of single wall underground drainage upvc underground
drainage pipes to bs en1401-1
Lot 3 is for the supply of upvc ducting
Lot 4 is for the supply of Access boxes covers and frames","Pipeline, piping, pipes, casing, tubing and related items",Matlock,Derbyshire,England,United Kingdom
derbyshire county council,PLACE306 Supply of Autodesk Licences,Supply of Autodesk Licences,Drawing and imaging software package,Matlock,Derbyshire,England,United Kingdom
derbyshire county council,CCP100 Secretariat Services for the f40 Group,"Derbyshire County Council, on behalf of the f40 Group, is out to tender for Secretariat Services for the group - working to raise issues around education funding and to campaign for change at a national level. The f40 Secretariat supports the f40 Group with strategy and campaign planning, media relations, social media and content creation as well as event management and general administrative tasks.",Business and management consultancy services,Matlock,Derbyshire,England,United Kingdom
derbyshire county council,SSD 23 21 Derbyshire Home Care Framework,"The Council is looking to establish a Derbyshire Home Care Framework of experienced CQC registered providers to deliver standard home care/domiciliary care services for Derbyshire County Council (excluding Derby City).

The Council is procuring the service detailed in the specification utilising a bespoke open procedure under the Light Touch Regime ('LTR') subject to limited regulation and will be conducted in accordance with regulations 74 to 76 PCR 2015.

The Framework will be established for 10 years in total, 6 years initial term with an option to extended up to a further 4 years. 

Following the initial opportunity to join, the Framework will remain closed and will only be opened to new providers as and when required by the Council.",Social work services,Matlock,Derbyshire,England,United Kingdom
herefordshire council,Fire Precautions improvements  At  Council Car Parks,"Deliver fire precaution improvements works at two Council owned pay and display car parks in the centre of Hereford.
The works include improvements to:
Fire alarm;
Fire Doors;
Emergency Lighting;
Means of Escape;
Fire Stopping; 
Signage;
",Sound or visual signalling apparatus,Hereford,Herefordshire,England,United Kingdom
herefordshire council,Fire Precautions improvements  At  Council Car Parks,"Herefordshire Council wishes to procure a contractor to deliver fire precaution improvements works at two Council owned pay and display car parks in the centre of Hereford. The Garrick Multi Storey car park is on 10 levels, the Maylord Orchards car park is on one level and is located at basement level beneath the Maylord Shopping Centre. The car parks are within a few hundred yards of each other geographically. The contract will be let on a JCT 2016 Minor Works Contract with Contractors Design.The works include improvements to:Fire alarm;Fire Doors;Emergency Lighting;Means of Escape;Fire Stopping; Signage;",Sound or visual signalling apparatus,Hereford,Herefordshire,England,United Kingdom
herefordshire council,Tender for the Promotion and Development of the Visitor Economy,"This tender relates to the development and promotion (both trade and consumer) of the Herefordshire visitor economy, such as local attractions, trails, tours and tourism products more generally.

Additional information: 
Herefordshire Council has published this contract opportunity on the 'Supplying the Southwest Portal'. To view the documentation related to this opportunity you will need to register on the portal if you are not already registered with Procontract, and express an interest in the opportunity.

To register with Procontract on the Supplying the Southwest Portal, click on the link below or copy and paste the link into your browser's address bar: https://www.supplyingthesouthwest.org.uk",Advertising and marketing services,Hereford,Herefordshire,England,United Kingdom
herefordshire council,Tender for the provision of  Weobley Primary School Boiler Replacement,"This tender relates to the replacement of a Biomass Boiler at Weobley Primary School. The works will include both strip out of the existing system and installation of a new system within the plant room.

Additional information: 
Herefordshire Council has published this contract opportunity on the 'Supplying the Southwest Portal'. To view the documentation related to this opportunity you will need to register on the portal if you are not already registered with Procontract, and express an interest in the opportunity.

To register with Procontract on the Supplying the Southwest Portal, click on the link below or copy and paste the link into your browser's address bar: https://www.supplyingthesouthwest.org.uk",Central-heating radiators and boilers and parts,Hereford,Herefordshire,England,United Kingdom
herefordshire council,"Ventilation Works at Aylestone High School, Hereford, Herefordshire.","Herefordshire Council has published this contract opportunity on the 'Supplying the Southwest Portal'. To view the documentation related to this opportunity you will need to register on the portal if you are not already registered with Procontract, and express an interest in the opportunity.

To register with Procontract on the Supplying the Southwest Portal, click on the link below or copy and paste the link into your browser's address bar: https://www.supplyingthesouthwest.org.uk 
",Plumbing and sanitary works,Hereford,Herefordshire,England,United Kingdom
herefordshire council,"Ventilation Works at Aylestone High School, Hereford, Herefordshire.",Herefordshire Council wishes to appoint a contractor to complete Ventilation Works at Aylestone High School. The full project scope is identified in the specification (Information document 1 Aylestone Ventilation Installation Specification).Herefordshire Council would like to thank you for your interest in this opportunity.,Plumbing and sanitary works,Hereford,Herefordshire,England,United Kingdom
herefordshire council,"Various Building Fabric Improvements At Merchant House, Hereford.","Herefordshire Council is seeking to appoint a Contractor to carry out building improvements including Asbestos Remediation, Redecorations, rainwater goods and new sanitary ware at Merchant House, Hereford.
Documentation relating to this opportunity is available on the E Portal, www.supplyingthesouthwest.org.uk.",Roof works and other special trade construction works,Hereford,Herefordshire,England,United Kingdom
